Color,Code,Shade
Macadamia Metallic,#3D2A24,Brown
Magenta,#DA5486,Purple
Mahogany Brown,#512F0F,Brown
Mahogany Metallic,#3C0606,Brown
Malachite Green Metallic,#39483C,Green
Malaga Red,#aa0808,Red
Mamba Green Metallic,#24b130,Green
Manaus Blue,#0f4d94,Blue
Maraschino Red Metallic,#6A2727,Red
Marathone Blue Metallic,#9abfc7,Blue
Marble Grey,#E6E6E3,Grey
Marine Blue Metallic,#4c5167,Blue
Maritime Blue,#4B77EA,Blue
Maroon,#721616,Red
Mars Red,#F22F2F,Red
Mauritius Blue,#2D488C,Blue
Medium Grey,#9C9C9C,Grey
Medium Ivory,#F1F2E5,White
Meissen Blue,#BFD7E2,Blue
Meridian Metallic,#C6C2B4,Grey
Merlin Purple Metallic,#543B67,Purple
Metallic Amethyst,#56032E,Purple
Metallic Blue,#277cbd,Blue
Metallic Dark Green,#0D3A0A,Green
Metallic Dark Red,#B54527,Red
Metallic Green,#81CF85,Green
Metallic Red,#E01212,Red
Meteor Grey Metallic,#2D2D2D,Grey
Meteor Metallic,#2D2B2B,Black
Mexico Beige,#E8D3AB,Beige
Mexico Blue,#3dbded,Blue
Miami Blue,#1bbfe8,Blue
Midnight Blue Metallic,#0b1628,Blue
Minerva Blue Metallic,#1383DA,Blue
Mint Green Dark,#6EA687,Green
Mint Green,#93FDEA,Green
Mocha Black,#331E12,Brown
Monoco Blue,#5781BA,Blue
Montego Black Metallic,#1b1717,Black
Moonlight Blue Pearl,#282a47,Blue
Moonstone,#E9E0EA,White
Moss Green Metallic,#0e4210,Green
Murano Green,#14747d,Green
Nardo Grey,#BFBEBE,Grey
Natoolive,#778245,Green
Nautic Metallic,#16335B,Blue
Nepal Orange,#F4650F,Orange
Neptune Blue,#158ADB,Blue
Night Blue,#0B3753,Blue
Nile Green Metallic,#1D391A,Green
Nimbus Grey Metallic,#C8C7CD,Grey
Nogaro Blue Metallic,#074da3,Blue
Nordic Gold,#EB8B0F,Gold
Nougat Brown Metallic,#BF9570,Brown
Nutmeg Brown Metallic,#61330B,Brown
Oak Green Metallic,#354829,Green
Ocean Blue Early,#345970,Blue
Ocean Blue Metallic,#142276,Blue
Ocean Jade Metallic,#0A99A3,Green
Olive,#CCB535,Green
Olive Green,#80921F,Green
Olive Green Metallic,#4C5636,Green
Olympic Blue,#64CAF5,Blue
Onyx Green Metallic,#385046,Green
Opal Metallic,#C2B378,Brown
Orange,#EE7A3B,Orange
Orange(356),#DC551B,Orange
Orange Pearl,#EC8017,Orange
Orange Red,#FF6000,Red
