Color,Code,Shade,Lightness
Goodwood Green Metallic,#0B3C06,Green,0.129411765
Forest Green Metallic,#093B1F,Green,0.133333333
Metallic Dark Green,#0D3A0A,Green,0.133333333
Amazon Green Metallic,#0a373c,Green,0.137254902
Fjord Green,#024642,Green,0.141176471
Dark Olive Metallic,#382F14,Green,0.149019608
Irish Green,#0A430F,Green,0.150980392
Lagogruen Metallic,#163a36,Green,0.156862745
Moss Green Metallic,#0e4210,Green,0.156862745
Nile Green Metallic,#1D391A,Green,0.162745098
Connaught Green,#0D4820,Green,0.166666667
British Racing Green,#03520d,Green,0.166666667
Underberg Green,#19580d,Green,0.198039216
Oak Green Metallic,#354829,Green,0.221568627
Black Olive,#3F4131,Green,0.223529412
Racing Green Metallic,#274c38,Green,0.225490196
Rolex Green,#1A5E1E,Green,0.235294118
Light Oak Green Metallic,#364A38,Green,0.250980392
Barnato Green,#2D5433,Green,0.252941176
Malachite Green Metallic,#39483C,Green,0.252941176
Onyx Green Metallic,#385046,Green,0.266666667
Aventura Green Metallic,#3d4c45,Green,0.268627451
Olive Green Metallic,#4C5636,Green,0.274509804
Murano Green,#14747d,Green,0.284313725
Palm Green,#237635,Green,0.3
Zambezi Green,#1D8550,Green,0.317647059
Ocean Jade Metallic,#0A99A3,Green,0.339215686
Lighter Green,#139E55,Green,0.347058824
Olive Green,#80921F,Green,0.347058824
Python Green,#268C43,Green,0.349019608
Java Green Metallic,#2A8E33,Green,0.360784314
Conda Green,#18A467,Green,0.368627451
Pure Green,#209E22,Green,0.37254902
Lime Green Metallic,#659D22,Green,0.374509804
Turmalin Green Metallic,#2D8092,Green,0.374509804
Jet Green Metallic,#359154,Green,0.388235294
Natoolive,#778245,Green,0.390196078
Lhasa Green Metallic,#54756D,Green,0.394117647
Emerald Green Metallic,#319B3B,Green,0.4
Mamba Green Metallic,#24b130,Green,0.417647059
G T- R S Green,#20C12D,Green,0.441176471
Lizard Green,#7EE410,Green,0.478431373
Bush( Leaf) Green,#699f5e,Green,0.496078431
Wimbledon Green Metallic,#5CA190,Green,0.496078431
Lime Green,#88E816,Green,0.498039216
Olive,#CCB535,Green,0.503921569
Fern Green,#42C098,Green,0.505882353
Apple Green,#A1D433,Green,0.515686275
Delphi Green Metallic,#A2BC51,Green,0.52745098
Ravenna Green,#B1C845,Green,0.52745098
Turquoise Green,#56B88E,Green,0.529411765
Light Green,#8BCC45,Green,0.535294118
Jade Green Metallic,#65AD8C,Green,0.537254902
Signal Green,#47CB7C,Green,0.537254902
Mint Green Dark,#6EA687,Green,0.541176471
Golden Green,#C1CF49,Green,0.549019608
Light Green Metallic,#A0BB61,Green,0.556862745
Smyrna Green,#59c5a0,Green,0.560784314
Willow Green,#8CC757,Green,0.560784314
Turkey Green,#56cfa9,Green,0.574509804
Emerald( Viper) Green,#4BDB59,Green,0.576470588
Linden Green,#E0F037,Green,0.578431373
Sid Green,#51D6AE,Green,0.578431373
Ascot Green,#51e051,Green,0.598039216
Green,#5ED58D,Green,0.601960784
Crystal Green Metallic,#91A499,Green,0.605882353
Zermatt Metallic,#91A499,Green,0.605882353
Racing Green Metallic,#83B9AB,Green,0.619607843
Acid Green,#D4EC53,Green,0.625490196
Auratium Green,#7FC1A1,Green,0.62745098
Jade Green,#5DE6BE,Green,0.633333333
Birch Green,#DBFF4D,Green,0.650980392
Palma Green Metallic,#5EF05E,Green,0.654901961
Metallic Green,#81CF85,Green,0.658823529
Python Green Chromaflair,#9EDF73,Green,0.662745098
Granite Green Metallic,#A9B3AE,Green,0.682352941
Peridot Metallic,#c1df87,Green,0.701960784
Lagoon Green Metallic,#a6c9ca,Green,0.721568627
Reseda Green Metallic,#d4e595,Green,0.741176471
